"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","label"
"1","1m2EwoCsZlX5JauNr9O4zk",0.732,0.973,6,-5.33,1,0.0319,0.456,0,0.154,0.967,123.292,205827,1
"2","2cT0rywZk7Mz7xZEpjdZde",0.582,0.787,1,-5.923,1,0.0877,0.00777,0,0.182,0.368,130.953,193853,1
"3","12BbMJsJi65mxneq6c9Lm7",0.707,0.628,11,-9.684,1,0.0877,0.00526,8.21e-05,0.104,0.87,187.548,211213,1
"4","61dCUoMCg28qEBzrW6htYM",0.799,0.586,11,-6.735,1,0.0377,0.162,2.03e-06,0.193,0.549,120.97,227833,1
"5","5RKZ9zCtLjBLTea7qkSFqr",0.519,0.772,0,-6.784,1,0.0331,0.534,1.21e-05,0.271,0.961,79.618,166907,1
"6","2XAZbgSesR2bdSNkBFJmyu",0.507,0.753,11,-4.064,1,0.0339,0.00164,0.00087,0.168,0.968,179.948,139089,1
"7","7sXxvOVFtMr31xj0kX9BFV",0.593,0.752,8,-6.617,0,0.0313,0.0841,0.00308,0.197,0.935,172.087,129907,1
"8","0mIPUewslxddIZHnWuPnMD",0.639,0.72,6,-4.253,1,0.0284,0.0276,0,0.113,0.921,131.797,198320,1
"9","5CPayysVhU2BlNXw2kG59L",0.674,0.84,1,-3.879,0,0.0746,0.0338,0.000441,0.0941,0.875,150.011,227800,1
"10","76EeScTnI2sCjDY0SfEoSb",0.421,0.831,4,-5.128,1,0.107,0.0283,0,0.464,0.488,134.027,175907,1
"11","4jKojTEsrJtUU5rNp3gbGQ",0.435,0.652,0,-8.495,1,0.0404,0.519,0,0.129,0.806,108.097,273933,1
"12","3zdI8HDPKoMsCRkmpQTblk",0.382,0.895,11,-4.757,1,0.0578,0.0129,0,0.082,0.392,93.066,172893,1
"13","5gF9zOYM9TmSzKHukbNjpB",0.721,0.681,0,-7.631,0,0.0488,0.024,0.0109,0.157,0.768,121.978,172640,1
"14","3eKkMH08IN5qbjp8wv6cV8",0.639,0.875,10,-8.231,1,0.0413,0.611,1.18e-05,0.204,0.873,93.242,143229,1
"15","5WSdMcWTKRdN1QYVJHJWxz",0.657,0.913,11,-4.984,1,0.0528,0.00392,0.00149,0.466,0.906,108.036,254620,1
"16","2fTsFCKRFQ5M0igJgabnLA",0.636,0.832,5,-3.944,1,0.179,0.0293,3.6e-06,0.272,0.677,175.015,223053,1
"17","45s88Xopo6KvHc0PQ05aGg",0.299,0.787,0,-7.93,0,0.069,0.14,0,0.292,0.716,94.798,198867,1
"18","4KM5Fakftmt0XpPBg7lZwZ",0.701,0.612,7,-8.377,1,0.041,0.00857,0.0497,0.0622,0.355,107.955,193627,1
"19","4ofwffwvvnbSkrMSCKQDaC",0.672,0.735,5,-4.733,1,0.0457,0.286,0,0.242,0.754,115.741,201287,1
"20","3XIEWK1V9n25PS9Vb6axj5",0.704,0.867,2,-5.808,1,0.0315,0.0846,0,0.206,0.809,131.467,188133,1
"21","1FHNctV68GUNLgXclG2DtR",0.639,0.845,10,-3.333,1,0.0372,0.0528,0,0.336,0.871,119.485,233373,1
"22","4YUlGNZfYA6EUE5KDsGqpC",0.639,0.923,7,-5.708,1,0.032,0.0674,0,0.0879,0.761,97.874,175347,1
"23","4fCHoHmwmX8LgAp6A1GULJ",0.574,0.887,11,-6.172,1,0.0565,0.0607,2.41e-06,0.334,0.622,136.057,229244,1
"24","0gzqZ9d1jIKo9psEIthwXe",0.536,0.928,11,-6.492,0,0.0589,0.0154,0.00134,0.2,0.389,136.258,248400,1
"25","5yNEdBlZMxpcVtGKz5NFk5",0.673,0.71,8,-6.744,1,0.0324,0.00277,0,0.55,0.54,110.017,173613,1
"26","7zkDEBSxkcBVsStS4qBFpK",0.635,0.786,0,-6.46,1,0.0377,0.0349,0.00767,0.497,0.305,97.54,241547,1
"27","6pxWv6GV35VGmcPf5dh6CH",0.699,0.641,2,-7.564,1,0.0289,0.13,0.000218,0.0601,0.728,120.745,187213,1
"28","1gStng1TuTLt0SaISWL14r",0.405,0.728,7,-4.76,1,0.0433,0.415,0,0.0777,0.342,188.701,205093,1
"29","7pQAq14Z73YUFMtxCyt0bG",0.426,0.76,0,-4.082,1,0.0414,0.118,0,0.325,0.955,171.838,131213,1
"30","7sVxvaLH9Bx9YZyBjdRpdQ",0.55,0.868,3,-5.472,1,0.0361,0.656,0,0.136,0.962,158.563,148627,1
"31","1YyHm1dSJ2JBK0QK769Z82",0.619,0.917,1,-5.188,1,0.043,0.215,0.00183,0.0988,0.796,130.025,221722,1
"32","5XMjXjwCkJVmk0AHm7z8IV",0.58,0.981,8,-2.603,0,0.06,0.0171,1.07e-05,0.386,0.861,134.007,195667,1
"33","4GAI8BxeMgrvhZNEU59UfR",0.757,0.647,2,-10.264,1,0.0299,0.757,3.08e-06,0.0972,0.97,122.771,169627,1
"34","5p9XWUdvbUzmPCukOmwoU3",0.587,0.767,0,-5.713,1,0.0449,0.225,0,0.112,0.664,100.38,201707,1
"35","52MW2hwNmLa0KdsZZk8360",0.629,0.905,5,-4.745,1,0.0378,0.0273,0.199,0.0644,0.967,122.448,212960,1
"36","4HRa9ZWcmZ8JD7UySPu0wT",0.611,0.948,1,-3.751,0,0.0753,0.00183,0.0995,0.0969,0.79,133.004,174920,1
"37","2DX0WG5OGLQLaXb41Cq1IA",0.704,0.631,9,-12.299,0,0.0398,0.0346,0,0.159,0.793,123.286,295667,1
"38","1SZN00cfG8T8UxDmJeqjuv",0.607,0.924,7,-5.684,1,0.0703,0.0668,0,0.117,0.778,134.975,198827,1
"39","2Rkfv2emuT4A1QU6dJmf5V",0.464,0.895,0,-7.683,1,0.031,0.00227,0.00394,0.13,0.932,91.905,238293,1
"40","2qONptRzQM0D3BGOgAsapI",0.818,0.688,0,-7.083,0,0.0379,0.00209,0.0541,0.282,0.971,122.983,259507,1
"41","1bCmvezFg5MRcENzCGG1Cy",0.511,0.815,7,-3.14,1,0.144,0.0491,0,0.0826,0.586,154.514,215307,1
"42","5Q7cE6wGHMehLFo2ppkk5D",0.445,0.872,6,-6.294,0,0.0602,0.00402,0.00909,0.047,0.834,162.407,208360,1
"43","36phXHOKx8rO7CMp2vNX4x",0.617,0.759,0,-6.785,0,0.0677,0.0026,0,0.419,0.324,122.925,218773,1
"44","6WP4WTHzaPTCk1QrbRLhgL",0.594,0.83,10,-5.727,1,0.0632,0.0288,0.0215,0.261,0.69,117.973,203527,1
"45","20CNpCKq1oTdvekXaboyeq",0.526,0.763,0,-12.663,0,0.0341,0.00126,6.75e-05,0.359,0.514,136.205,215160,1
"46","0FXJkC3XA6UOyvti331jQw",0.936,0.414,9,-8.942,0,0.0791,0.0211,0.453,0.11,0.899,107.438,152880,1
"47","6TMzuNLw1ZPgBqPKmnnObm",0.706,0.777,10,-4.591,0,0.0567,0.299,0,0.298,0.638,126.008,203204,1
"48","1Q8reqCOXg2yqNr47HGo9X",0.323,0.847,11,-4.716,1,0.0348,5.12e-06,0.0208,0.25,0.859,173.914,98400,1
"49","3CSpzkoL1XgDBZ1q9aDCUV",0.696,0.943,4,-2.962,1,0.0431,0.0736,0,0.653,0.833,129.003,194867,1
"50","44AXd3UVaaVYsSQqBpnYO2",0.673,0.901,2,-2.379,1,0.0348,0.0525,0.000535,0.0736,0.503,100.002,194093,1
"51","66S14BkJDxgkYxLl5DCqOz",0.851,0.551,4,-5.177,1,0.0396,0.151,0,0.0827,0.807,131.922,219467,1
"52","7BXToqZFtclAj6mshYWena",0.636,0.881,2,-5.376,1,0.0758,0.134,0.00952,0.074,0.845,118.237,133467,1
"53","58E5eiErWFE5oU9eSCa5ZA",0.899,0.79,4,-3.651,1,0.104,0.793,0.155,0.111,0.92,107.985,166667,1
"54","3pf96IFggfQuT6Gafqx2rt",0.647,0.868,0,-6.427,0,0.105,0.0876,0.124,0.129,0.803,121.822,242240,1
"55","4MFCXniy7I8tj0GXtf3wgC",0.638,0.924,7,-3.887,1,0.0359,0.00205,0.000173,0.149,0.529,111.995,263787,1
"56","6nzhhT57iQYrbqumru9NNP",0.559,0.752,8,-10.046,1,0.0581,0.448,0.00061,0.0907,0.946,187.712,179973,1
"57","4Sqc0kPuZpfI0T2TZBu8JT",0.676,0.824,0,-5.752,1,0.0449,0.0271,0.0152,0.363,0.696,122.221,187733,1
"58","6pyex9B1kBoRIuabBAc4m8",0.635,0.672,10,-6.788,0,0.0637,0.314,5.03e-06,0.0688,0.895,166.903,155333,1
"59","2vh22POJvrq3mlOzmjKWb6",0.741,0.714,1,-4.3,0,0.0753,0.146,0,0.385,0.755,95.081,202689,1
"60","5zsvG3RApT8qMVl7673FqF",0.466,0.634,6,-5.3,1,0.0289,0.0763,0,0.0678,0.324,128.992,194240,1
"61","7w4Tbkbx081vRJa8ol56Qf",0.461,0.936,4,-6.824,1,0.104,0.416,0.000135,0.136,0.811,172.43,249333,1
"62","6fWMEDCURTkeP9bPYvzcJe",0.532,0.831,9,-4.359,1,0.0456,0.0104,0.000183,0.0801,0.764,93.948,159407,1
"63","6pc8xULSlsMdFB3OrqbvZ4",0.843,0.656,1,-11.184,1,0.0595,0.0466,0.0187,0.169,0.931,121.112,215653,1
"64","2kiJ5lZQZusgWwpqA7z2i1",0.613,0.923,0,-5.234,1,0.0691,0.00892,0,0.149,0.669,96.043,166920,1
"65","1hy6Dic0L5SU1XqjhYY1TR",0.556,0.929,7,-3.659,1,0.037,0.0499,1.7e-06,0.0931,0.842,137.996,188893,1
"66","6QgjcU0zLnzq5OrUoSZ3OK",0.801,0.795,1,-5.115,0,0.0504,0.0417,0.000113,0.0717,0.754,79.028,163253,1
"67","3v8PlUFGQQDBIk1J86waCo",0.742,0.844,2,-6.441,1,0.111,0.0838,0,0.418,0.85,113.371,188240,1
