"","id","danceability","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","label"
"1","7mywajxmZfn5O3FQIR4CPs",0.43,0.568,6,-6.485,0,0.0398,0.0171,0,0.0921,0.0803,163.835,220000,0
"2","0xz8svJMyVvYYJxrsYPi6A",0.274,0.652,5,-6.196,0,0.0625,0.00768,6.42e-05,0.108,0.1,173.009,288036,0
"3","2CgOd0Lj5MuvOqzqdaAXtS",0.276,0.796,0,-4.499,1,0.0579,0.00293,0,0.184,0.26,199.526,218965,0
"4","1hWYT0w2R0J19rlVkiez7X",0.517,0.811,5,-4.526,0,0.286,0.186,0,0.105,0.494,168.269,250320,0
"5","1almCHdsfikRPfVB9VrEdT",0.5,0.292,0,-8.554,1,0.0323,0.746,0,0.188,0.37,145.879,185200,0
"6","2bfNnO1OpLCxaDR73phdMk",0.742,0.439,4,-8.598,0,0.065,0.135,0,0.122,0.826,92.017,172820,0
"7","23n7KwXOXC9giXTz5Q71NH",0.685,0.341,6,-8.528,1,0.193,0.689,2.7e-06,0.106,0.692,93.911,205268,0
"8","4lA7OfHo3sP0Mya3uD0Xsh",0.606,0.833,8,-3.148,1,0.0611,0.0149,0,0.111,0.635,139.981,220747,0
"9","10rChmECwPcvTTj4w07hq4",0.421,0.858,1,-4.535,1,0.0963,0.0134,0,0.067,0.491,173.255,206773,0
"10","46bdsCZKQ93J9RGqlFZpAF",0.78,0.601,8,-9.132,0,0.0433,0.0852,0,0.163,0.539,105.035,137770,0
"11","6BX787r5M59aRtAcywwzr6",0.544,0.951,0,-5.183,1,0.0483,0.0676,0.00515,0.315,0.747,75.007,186874,0
"12","5LArYFxcsMkArh2RFC5dyn",0.635,0.74,3,-7.651,1,0.0368,0.176,0,0.188,0.355,141.985,223560,0
"13","5A8jUZatix87xG0Zj6HSKG",0.543,0.84,2,-5.121,1,0.0499,0.00471,0,0.179,0.394,124.037,223093,0
"14","6lV2MSQmRIkycDScNtrBXO",0.66,0.867,6,-4.285,0,0.116,0.11,0,0.0368,0.377,93.033,180480,0
"15","4iWYPj04kHXcZK0st5yzZf",0.532,0.633,11,-5.106,0,0.0682,0.00378,0,0.0804,0.448,164.13,236907,0
"16","4WXFDVe299Po8ih6Np54n2",0.445,0.907,11,-3.894,0,0.0773,0.00161,0,0.403,0.71,165.069,187880,0
"17","04aAxqtGp5pv12UXAg4pkq",0.385,0.866,4,-2.817,0,0.0697,0.004,0,0.111,0.551,176.014,228360,0
"18","2Fjz5ZC5BvFdCqcnTZ3ilH",0.491,0.607,4,-6.333,0,0.0668,0.0125,1.52e-06,0.289,0.166,176.112,189333,0
"19","5yFSF6qQA1rcLsQRnBsZgb",0.658,0.678,1,-4.407,1,0.058,0.303,0,0.361,0.662,97.976,199111,0
"20","4c3mIWKKMbGJlZukdMTBvB",0.541,0.933,11,-4.36,0,0.0887,0.012,0,0.0727,0.413,91.97,185307,0
"21","73calRAsTSbfybJiTT24K8",0.643,0.923,1,-4.498,0,0.0348,0.228,1.63e-05,0.151,0.548,122.995,220080,0
"22","5m4hXylTxAEtPkwgrBZim8",0.468,0.738,9,-5.435,1,0.0281,0.0257,0,0.152,0.397,136.045,205386,0
"23","0ljDrPzIiYmTNVh95VnCzH",0.526,0.758,8,-3.732,1,0.0256,0.171,0,0.304,0.482,97.954,306985,0
"24","3E2Zh20GDCR9B1EYjfXWyv",0.673,0.637,5,-4.518,1,0.0429,0.137,0,0.184,0.678,123.98,201160,0
"25","32bqxZEJRJObeNyc8bEiPt",0.59,0.671,9,-6.098,1,0.0706,0.0484,0,0.0604,0.438,149.982,169801,0
"26","6TfBA04WJ3X1d1wXhaCFVT",0.546,0.905,0,-3.103,1,0.0671,0.00511,0,0.211,0.598,126.12,177827,0
"27","2mqDi8BzmNw54qrVHduyiu",0.865,0.791,6,-3.796,1,0.0504,0.0686,2.21e-06,0.068,0.662,97.001,211240,0
